time,seconds_elapsed,z,y,x
1665946242986054700,0.0130546875,-0.8135528564453125,-0.5941925048828125,-0.0043487548828125
1665946242996135700,0.0231357421875,-0.8624420166015625,-0.5738983154296875,-0.016021728515625
1665946243006217700,0.0332177734375,-0.9006195068359375,-0.527069091796875,-0.0223236083984375
1665946243016299800,0.0432998046875,-0.9210052490234375,-0.5270538330078125,-0.0203399658203125
1665946243026381800,0.0533818359375,-0.92156982421875,-0.5374755859375,-0.022003173828125
1665946243036462800,0.063462890625,-0.9062652587890625,-0.5371856689453125,-0.0154571533203125
1665946243046545000,0.073544921875,-0.9069671630859375,-0.5257415771484375,-0.038116455078125
1665946243056626700,0.083626708984375,-0.88995361328125,-0.5170745849609375,0.0198516845703125
1665946243066708700,0.093708740234375,-0.799163818359375,-0.592071533203125,-0.0064697265625
1665946243076789800,0.103789794921875,-0.7919158935546875,-0.52886962890625,-0.0606536865234375
1665946243086871600,0.11387158203125,-0.7955474853515625,-0.539398193359375,-0.005584716796875
1665946243096953600,0.12395361328125,-0.8342742919921875,-0.5892333984375,-0.0076141357421875
1665946243107035600,0.13403564453125,-0.852783203125,-0.595458984375,-0.016754150390625
1665946243117116700,0.14411669921875,-0.8843536376953125,-0.588470458984375,-0.0305023193359375
1665946243127198700,0.15419873046875,-0.895660400390625,-0.5810699462890625,-0.03143310546875
1665946243137280800,0.16428076171875,-0.8857574462890625,-0.5662994384765625,-0.0291900634765625
1665946243147362800,0.17436279296875,-0.881805419921875,-0.555816650390625,-0.035736083984375
1665946243157444600,0.184444580078125,-0.8748931884765625,-0.5596923828125,-0.0537261962890625
1665946243167526000,0.19452587890625,-0.8211822509765625,-0.55157470703125,-0.068939208984375
1665946243177607700,0.204607666015625,-0.770751953125,-0.5291748046875,-0.0804595947265625
1665946243187689700,0.214689697265625,-0.77630615234375,-0.5343170166015625,-0.072906494140625
1665946243197771800,0.224771728515625,-0.806854248046875,-0.5697174072265625,-0.058685302734375
1665946243207852800,0.234852783203125,-0.8321685791015625,-0.5706787109375,-0.0572662353515625
1665946243217934800,0.244934814453125,-0.8406524658203125,-0.5607452392578125,-0.0763092041015625
1665946243228017000,0.255016845703125,-0.828826904296875,-0.556671142578125,-0.0965118408203125
1665946243238098700,0.2650986328125,-0.8008270263671875,-0.592376708984375,-0.097442626953125
1665946243248179700,0.2751796875,-0.7878265380859375,-0.588409423828125,-0.096282958984375
1665946243258261800,0.28526171875,-0.7630615234375,-0.575469970703125,-0.0919342041015625
1665946243268343800,0.29534375,-0.7898406982421875,-0.5693817138671875,-0.0865936279296875
1665946243278425600,0.305425537109375,-0.857940673828125,-0.5731201171875,-0.076324462890625
1665946243288506600,0.315506591796875,-0.9105377197265625,-0.595428466796875,-0.058258056640625
1665946243298588700,0.325588623046875,-0.8491363525390625,-0.580078125,-0.084747314453125
1665946243308670700,0.335670654296875,-0.7562713623046875,-0.55963134765625,-0.0986785888671875
1665946243318752800,0.345752685546875,-0.762542724609375,-0.5308990478515625,-0.12677001953125
1665946243328834800,0.355834716796875,-0.834869384765625,-0.5399169921875,-0.1040802001953125
1665946243338915800,0.365915771484375,-0.8768463134765625,-0.572845458984375,-0.0884857177734375
1665946243348998000,0.375997802734375,-0.8449554443359375,-0.5887603759765625,-0.0811767578125
1665946243359080000,0.386079833984375,-0.7856597900390625,-0.5660552978515625,-0.078948974609375
1665946243369161700,0.39616162109375,-0.7682342529296875,-0.5276947021484375,-0.101776123046875
1665946243379242800,0.40624267578125,-0.769439697265625,-0.5020599365234375,-0.130889892578125
1665946243389324500,0.416324462890625,-0.778167724609375,-0.4717864990234375,-0.117401123046875
1665946243399406600,0.426406494140625,-0.7848358154296875,-0.4400482177734375,-0.1019439697265625
1665946243409488600,0.436488525390625,-0.8174896240234375,-0.4037933349609375,-0.0796356201171875
1665946243419569700,0.446569580078125,-0.8318939208984375,-0.3748779296875,-0.0225982666015625
1665946243429651700,0.456651611328125,-0.8482208251953125,-0.4525299072265625,-0.0155792236328125
1665946243439733800,0.466733642578125,-0.8587646484375,-0.5369720458984375,-0.0720062255859375
1665946243449815800,0.47681591796875,-0.8473052978515625,-0.5130767822265625,-0.139007568359375
1665946243459896800,0.486896728515625,-0.81048583984375,-0.47589111328125,-0.1967010498046875
1665946243469979000,0.496978759765625,-0.769287109375,-0.4355316162109375,-0.204193115234375
1665946243480061000,0.50706103515625,-0.730560302734375,-0.40283203125,-0.1587677001953125
1665946243490142700,0.517142822265625,-0.7050628662109375,-0.388275146484375,-0.0866546630859375
1665946243500224800,0.527224853515625,-0.6929473876953125,-0.407318115234375,-0.04522705078125
1665946243510305500,0.537305419921875,-0.8726959228515625,-0.4534149169921875,-0.139862060546875
1665946243520387600,0.5473876953125,-1.1888580322265625,-0.4169158935546875,-0.2172088623046875
1665946243530469600,0.5574697265625,-1.2068023681640625,-0.3373870849609375,-0.1707763671875
1665946243540551700,0.5675517578125,-1.2025909423828125,-0.3319244384765625,-0.1733856201171875
1665946243550632700,0.5776328125,-1.1002960205078125,-0.3704071044921875,-0.1646270751953125
1665946243560714800,0.58771484375,-0.9996185302734375,-0.40985107421875,-0.1702880859375
1665946243570796800,0.597796875,-0.8963775634765625,-0.44970703125,-0.1210174560546875
1665946243580878800,0.60787890625,-0.827239990234375,-0.5095062255859375,-0.074005126953125
1665946243590959900,0.6179599609375,-0.803955078125,-0.575836181640625,-0.0522918701171875
1665946243601042000,0.6280419921875,-0.8160552978515625,-0.576324462890625,-0.0248870849609375
1665946243611123700,0.638123779296875,-0.6978607177734375,-0.70269775390625,0.1992340087890625
1665946243621205800,0.648205810546875,-0.514556884765625,-1.09613037109375,0.551513671875
1665946243631286500,0.65828662109375,-0.6129913330078125,-1.0424041748046875,0.2105560302734375
1665946243641368600,0.66836865234375,-0.6731414794921875,-0.6965179443359375,-0.1608428955078125
1665946243651450600,0.67845068359375,-0.760345458984375,-0.5599822998046875,-0.151275634765625
1665946243661532700,0.68853271484375,-0.8285675048828125,-0.59783935546875,-0.1684417724609375
1665946243671614700,0.69861474609375,-0.8543701171875,-0.6478729248046875,-0.193634033203125
1665946243681695700,0.70869580078125,-0.8777313232421875,-0.6380615234375,-0.1801605224609375
1665946243691777800,0.71877783203125,-0.9102020263671875,-0.59600830078125,-0.140625
1665946243701859800,0.72885986328125,-0.9303741455078125,-0.539276123046875,-0.1064300537109375
1665946243711941600,0.738941650390625,-0.8906402587890625,-0.5054931640625,-0.096221923828125
1665946243722022700,0.749022705078125,-0.830780029296875,-0.49798583984375,-0.076629638671875
1665946243732104700,0.759104736328125,-0.787139892578125,-0.506683349609375,-0.0958709716796875
1665946243742186800,0.769186767578125,-0.762176513671875,-0.5278778076171875,-0.121429443359375
1665946243752268800,0.779268798828125,-0.7412109375,-0.551513671875,-0.15460205078125
1665946243762349800,0.789349853515625,-0.722320556640625,-0.573883056640625,-0.1808624267578125
1665946243772432000,0.799431884765625,-0.7480010986328125,-0.585174560546875,-0.1894073486328125
1665946243782514000,0.809513916015625,-0.7814788818359375,-0.57464599609375,-0.182220458984375
1665946243792595700,0.819595703125,-0.815826416015625,-0.558990478515625,-0.1776123046875
1665946243802677500,0.829677490234375,-0.841522216796875,-0.5545654296875,-0.1772613525390625
1665946243812758500,0.839758544921875,-0.8624420166015625,-0.5549468994140625,-0.1832733154296875
1665946243822840600,0.849840576171875,-0.876953125,-0.5585479736328125,-0.185211181640625
1665946243832922400,0.85992236328125,-0.8699188232421875,-0.559661865234375,-0.1872406005859375
1665946243843004400,0.87000439453125,-0.86431884765625,-0.558837890625,-0.1883544921875
1665946243853085400,0.88008544921875,-0.85052490234375,-0.5665740966796875,-0.178466796875
1665946243863167500,0.89016748046875,-0.8369140625,-0.5777435302734375,-0.1767425537109375
1665946243873249500,0.90024951171875,-0.8046875,-0.577850341796875,-0.1884307861328125
1665946243883331600,0.91033154296875,-0.7521514892578125,-0.5703582763671875,-0.192169189453125
1665946243893412600,0.92041259765625,-0.7282257080078125,-0.583526611328125,-0.208770751953125
1665946243903494700,0.93049462890625,-0.7267303466796875,-0.5959625244140625,-0.21002197265625
1665946243913576700,0.94057666015625,-0.740447998046875,-0.596832275390625,-0.19134521484375
1665946243923658500,0.950658447265625,-0.77911376953125,-0.60003662109375,-0.1679229736328125
1665946243933740300,0.960740234375,-0.8267974853515625,-0.6060028076171875,-0.1505126953125
1665946243943821300,0.9708212890625,-0.853424072265625,-0.606475830078125,-0.1468658447265625
1665946243953903400,0.9809033203125,-0.85137939453125,-0.6015167236328125,-0.158294677734375
1665946243963985400,0.9909853515625,-0.840576171875,-0.6038818359375,-0.1690521240234375
1665946243974067500,1.0010673828125,-0.8321075439453125,-0.606658935546875,-0.1758270263671875
1665946243984148500,1.0111484375,-0.8199920654296875,-0.6252593994140625,-0.1616973876953125
1665946243994230500,1.02123046875,-0.8270721435546875,-0.6225433349609375,-0.14642333984375
1665946244004312600,1.0313125,-0.827667236328125,-0.620635986328125,-0.133026123046875
1665946244014394600,1.04139453125,-0.8119659423828125,-0.6361846923828125,-0.1220703125
1665946244024475600,1.0514755859375,-0.7782135009765625,-0.660125732421875,-0.102325439453125
1665946244034557700,1.0615576171875,-0.7907562255859375,-0.6640625,-0.11175537109375
1665946244044639500,1.071639404296875,-0.823577880859375,-0.652313232421875,-0.1218414306640625
1665946244054721500,1.081721435546875,-0.8277587890625,-0.6422882080078125,-0.123016357421875
1665946244064803600,1.091803466796875,-0.831024169921875,-0.6265869140625,-0.1217041015625
1665946244074884400,1.10188427734375,-0.843719482421875,-0.6243896484375,-0.11993408203125
1665946244084966400,1.11196630859375,-0.8469390869140625,-0.62347412109375,-0.131927490234375
1665946244095048400,1.12204833984375,-0.844085693359375,-0.605377197265625,-0.12890625
1665946244105130500,1.132130615234375,-0.8382110595703125,-0.5809326171875,-0.1195220947265625
1665946244115211500,1.14221142578125,-0.8350830078125,-0.588470458984375,-0.1089630126953125
1665946244125293600,1.15229345703125,-0.83642578125,-0.58856201171875,-0.0912322998046875
1665946244135375600,1.162375732421875,-0.85418701171875,-0.57000732421875,-0.0694580078125
1665946244145457400,1.17245751953125,-0.8603363037109375,-0.55218505859375,-0.054351806640625
1665946244155538400,1.182538330078125,-0.8497772216796875,-0.544219970703125,-0.0460052490234375
1665946244165620500,1.192620361328125,-0.83819580078125,-0.535430908203125,-0.04498291015625
1665946244175702500,1.20270263671875,-0.82806396484375,-0.5191192626953125,-0.042327880859375
1665946244185784600,1.21278466796875,-0.82659912109375,-0.5123291015625,-0.0481414794921875
1665946244195866600,1.22286669921875,-0.8369140625,-0.5106353759765625,-0.058624267578125
1665946244205947400,1.232947509765625,-0.8408966064453125,-0.5102081298828125,-0.0458526611328125
1665946244216029400,1.243029541015625,-0.8379974365234375,-0.489501953125,-0.029052734375
1665946244226111500,1.253111572265625,-0.824554443359375,-0.48260498046875,-0.025390625
1665946244236193500,1.263193603515625,-0.8112335205078125,-0.48468017578125,-0.0291748046875
1665946244246274600,1.273274658203125,-0.8036956787109375,-0.4837646484375,-0.0161590576171875
1665946244256356400,1.2833564453125,-0.7879638671875,-0.47491455078125,0.001739501953125
1665946244266438400,1.2934384765625,-0.767578125,-0.4725341796875,0.020782470703125
1665946244276520400,1.3035205078125,-0.7649688720703125,-0.4747772216796875,0.032196044921875
1665946244286601500,1.3136015625,-0.7719879150390625,-0.4723968505859375,0.0298614501953125
1665946244296683500,1.32368359375,-0.783843994140625,-0.4919281005859375,0.0132904052734375
1665946244306765600,1.333765625,-0.8000640869140625,-0.522613525390625,-0.0079345703125
1665946244316847600,1.34384765625,-0.8341522216796875,-0.5394287109375,-0.0129852294921875
1665946244326929700,1.3539296875,-0.8771514892578125,-0.5428314208984375,-0.0041656494140625
1665946244337010400,1.364010498046875,-0.917327880859375,-0.546234130859375,0.0132293701171875
1665946244347092500,1.374092529296875,-0.968902587890625,-0.525482177734375,0.02093505859375
1665946244357174300,1.38417431640625,-0.9889373779296875,-0.5179443359375,0.0286865234375
1665946244367256300,1.39425634765625,-0.983673095703125,-0.52874755859375,0.03326416015625
1665946244377337300,1.40433740234375,-0.971923828125,-0.5216064453125,0.019439697265625
1665946244387419400,1.41441943359375,-0.9556427001953125,-0.52618408203125,0.0076751708984375
1665946244397501400,1.42450146484375,-0.92376708984375,-0.556121826171875,0.0117950439453125
1665946244407583500,1.43458349609375,-0.9173431396484375,-0.5513153076171875,0.015777587890625
1665946244417664500,1.44466455078125,-0.9166259765625,-0.555267333984375,-0.0043487548828125
1665946244427746600,1.45474658203125,-0.9067230224609375,-0.55572509765625,-0.0167694091796875
1665946244437828600,1.46482861328125,-0.89459228515625,-0.572479248046875,-0.010894775390625
1665946244447910700,1.47491064453125,-0.8746337890625,-0.581695556640625,-0.021331787109375
1665946244457992400,1.484992431640625,-0.8768463134765625,-0.572418212890625,-0.041534423828125
1665946244468073700,1.49507373046875,-0.82940673828125,-0.58697509765625,-0.0398101806640625
1665946244478155300,1.5051552734375,-0.805267333984375,-0.6162109375,-0.052032470703125
1665946244488237300,1.5152373046875,-0.817626953125,-0.610107421875,-0.0673828125
1665946244498319400,1.5253193359375,-0.8384552001953125,-0.591278076171875,-0.08551025390625
1665946244508400400,1.535400390625,-0.8549652099609375,-0.5809478759765625,-0.0915985107421875
1665946244518482400,1.545482421875,-0.8600006103515625,-0.5661163330078125,-0.091827392578125
1665946244528564500,1.555564453125,-0.860198974609375,-0.5508270263671875,-0.0932464599609375
1665946244538646500,1.565646484375,-0.87713623046875,-0.5519866943359375,-0.0897369384765625
1665946244548727600,1.5757275390625,-0.92620849609375,-0.5604705810546875,-0.066253662109375
1665946244558809600,1.5858095703125,-0.9585723876953125,-0.5608673095703125,-0.0206146240234375
1665946244568891600,1.5958916015625,-0.97906494140625,-0.568695068359375,0.0037994384765625
1665946244578973400,1.605973388671875,-0.986358642578125,-0.59918212890625,0.0226593017578125
1665946244589055500,1.616055419921875,-0.9702911376953125,-0.608428955078125,0.0020904541015625
1665946244599136500,1.626136474609375,-0.935821533203125,-0.6013641357421875,-0.0300140380859375
1665946244609218600,1.636218505859375,-0.9156494140625,-0.5924224853515625,-0.05999755859375
