time,seconds_elapsed,z,y,x
1665946108855008800,0.0270087890625,-0.017313960939645767,-0.001982694258913398,0.03772777318954468
1665946108865089800,0.03708984375,-0.025986183434724808,0.005482073873281479,0.028944844380021095
1665946108875171000,0.047171142578125,-0.027779553085565567,0.010840088129043579,0.022425692528486252
1665946108885252000,0.057252197265625,-0.03064546547830105,0.006747109349817038,0.015384767204523087
1665946108895334000,0.067333984375,-0.0348157063126564,0.0014961548149585724,0.016380522400140762
1665946108905415000,0.077414794921875,-0.031921520829200745,-0.001232014037668705,0.023430000990629196
1665946108915496000,0.087495849609375,-0.028835982084274292,-0.0018328230362385511,0.02747667208313942
1665946108925577000,0.097576904296875,-0.030237922444939613,-0.0029597014654427767,0.03365449607372284
1665946108935659000,0.107658935546875,-0.035243332386016846,0.00435493653640151,0.03611499071121216
1665946108945740000,0.117739990234375,-0.0400918610394001,0.00565469590947032,0.031551543623209
1665946108955821000,0.127821044921875,-0.041616253554821014,0.00828803051263094,0.02408697083592415
1665946108965901800,0.13790185546875,-0.037227563560009,0.008207659237086773,0.025948815047740936
1665946108975982800,0.14798291015625,-0.03381498530507088,0.010789061896502972,0.03607974573969841
1665946108986065000,0.15806494140625,-0.033253490924835205,0.014868506230413914,0.034517861902713776
1665946108996146000,0.16814599609375,-0.028377242386341095,0.013948384672403336,0.034576982259750366
1665946109006227000,0.17822705078125,-0.024526488035917282,0.008386212401092052,0.033208414912223816
1665946109016307700,0.1883076171875,-0.02228996530175209,0.0076352013275027275,0.03810596838593483
1665946109026389800,0.1983896484375,-0.02449449710547924,0.006139881908893585,0.035151638090610504
1665946109036470800,0.208470703125,-0.015927640721201897,0.00518966605886817,0.039243586361408234
1665946109046552000,0.218552001953125,-0.014311155304312706,0.004741627722978592,0.04209059104323387
1665946109056633000,0.228633056640625,-0.01072041504085064,-0.002556765219196677,0.046752188354730606
1665946109066715000,0.23871484375,-0.011528469622135162,-0.011797409504652023,0.04849093407392502
1665946109076796000,0.2487958984375,-0.0069014932960271835,-0.021847380325198174,0.05140949413180351
1665946109086877000,0.258876953125,-0.009541338309645653,-0.027603069320321083,0.04855772480368614
1665946109096958000,0.2689580078125,-0.014016780070960522,-0.027552735060453415,0.04464154317975044
1665946109107040000,0.2790400390625,-0.03638394922018051,-0.024134978652000427,0.030056031420826912
1665946109117121000,0.28912109375,-0.048373766243457794,-0.0260684322565794,0.02787383645772934
1665946109127202000,0.2992021484375,-0.04146549478173256,-0.0005079878028482199,0.01522518415004015
1665946109137282800,0.30928271484375,-0.016243228688836098,-0.02605276368558407,0.012735394760966301
1665946109147364900,0.31936474609375,-0.014458650723099709,0.014453562907874584,0.056986063718795776
1665946109157446000,0.32944580078125,0.018468141555786133,0.11330211162567139,0.09167852997779846
1665946109167527000,0.33952685546875,-0.011593284085392952,0.05900164693593979,0.029559262096881866
1665946109177608000,0.34960791015625,-0.07276875525712967,-0.09379855543375015,0.005261381156742573
1665946109187690000,0.35968994140625,-0.08974235504865646,-0.06340152770280838,-0.009284126572310925
1665946109197770800,0.369770751953125,-0.042567647993564606,-0.10932694375514984,-0.04954872280359268
1665946109207851800,0.379851806640625,-0.07280100136995316,-0.1501138061285019,-0.03941873833537102
1665946109217933000,0.38993310546875,-0.043739788234233856,-0.17788098752498627,-0.04773818701505661
1665946109228014800,0.400014892578125,-0.028621114790439606,-0.209064319729805,-0.051619239151477814
1665946109238096000,0.410095947265625,-0.054488930851221085,-0.23126469552516937,-0.05148288607597351
1665946109248177000,0.420177001953125,-0.0782599002122879,-0.2179456502199173,-0.04858892038464546
1665946109258258000,0.4302578125,-0.08434335887432098,-0.15141908824443817,-0.05067577585577965
1665946109268340000,0.440340087890625,-0.1038467064499855,-0.04768559709191322,-0.05903156101703644
1665946109278421000,0.4504208984375,-0.1151702031493187,-0.04766961559653282,-0.10002826154232025
1665946109288502000,0.460501953125,-0.13829584419727325,-0.0512731559574604,-0.08447395265102386
1665946109298583000,0.4705830078125,-0.23244976997375488,-0.21165458858013153,0.07311141490936279
1665946109308665000,0.4806650390625,-0.23864863812923431,-0.3929317593574524,0.2044079750776291
1665946109318745900,0.490745849609375,-0.24796117842197418,-0.42985114455223083,0.21826015412807465
1665946109328827000,0.500826904296875,-0.2790720760822296,-0.3901655077934265,0.16425345838069916
1665946109338909000,0.510908935546875,-0.3107146918773651,-0.40223681926727295,0.14828035235404968
1665946109348990000,0.520989990234375,-0.3256777822971344,-0.3456570506095886,0.14334531128406525
1665946109359071000,0.531071044921875,-0.278557687997818,-0.2482452690601349,0.14835764467716217
1665946109369151700,0.54115185546875,-0.22374685108661652,-0.23920230567455292,0.17026068270206451
1665946109379232800,0.551232666015625,-0.18110112845897675,-0.22777467966079712,0.21628250181674957
1665946109389314800,0.561314697265625,-0.15549995005130768,-0.21368688344955444,0.2712911367416382
1665946109399395800,0.571395751953125,-0.15498995780944824,-0.23233726620674133,0.3178980350494385
1665946109409477000,0.58147705078125,-0.18428969383239746,-0.15063759684562683,0.32744261622428894
1665946109419559000,0.591558837890625,-0.158640518784523,-0.07614313066005707,0.29189392924308777
1665946109429640000,0.601639892578125,-0.07455624639987946,-0.15812626481056213,0.28826022148132324
1665946109439721000,0.611720947265625,0.02531655691564083,-0.2958316504955292,0.3683699667453766
1665946109449802000,0.621802001953125,0.08028426766395569,-0.3032229542732239,0.4195953607559204
1665946109459884000,0.631884033203125,0.09933599084615707,-0.24463927745819092,0.42218101024627686
1665946109469965000,0.641965087890625,0.09171554446220398,-0.18353745341300964,0.3631129860877991
1665946109480046000,0.652046142578125,0.06669168174266815,-0.08211468905210495,0.31201091408729553
1665946109490126800,0.662126953125,0.04637053608894348,-0.06189701333642006,0.26156407594680786
1665946109500209000,0.672208984375,0.039901718497276306,-0.09345041215419769,0.1767524927854538
1665946109510290000,0.6822900390625,0.022658251225948334,-0.09967311471700668,0.09364666789770126
1665946109520371000,0.692370849609375,-0.015183934941887856,0.006810718681663275,0.061276741325855255
1665946109530452000,0.702451904296875,-0.03656436502933502,-0.029166553169488907,0.08994060754776001
1665946109540534000,0.712533935546875,-0.032123543322086334,-0.0058873300440609455,0.0686611533164978
1665946109550614800,0.72261474609375,-0.027888178825378418,-0.008379669860005379,0.06558313220739365
1665946109560695800,0.73269580078125,-0.032272275537252426,0.00860836822539568,0.05526764690876007
1665946109570776800,0.74277685546875,-0.030923914164304733,0.016444187611341476,0.017668072134256363
1665946109580859000,0.75285888671875,-0.024133920669555664,0.014190620742738247,-0.00575815886259079
1665946109590940000,0.76293994140625,-0.015720320865511894,-0.008959060534834862,0.018114741891622543
1665946109601021000,0.77302099609375,-0.01256900280714035,-0.023918036371469498,0.029627319425344467
1665946109611102000,0.78310205078125,-0.006303243804723024,-0.015150798484683037,0.005213117226958275
1665946109621184000,0.79318408203125,-0.004973261151462793,-0.00250238087028265,-0.02080943062901497
1665946109631265000,0.80326513671875,-0.010129401460289955,0.002676758449524641,-0.03345024213194847
1665946109641346000,0.813345947265625,-0.01768665388226509,0.0052403174340724945,-0.025181125849485397
1665946109651427000,0.823427001953125,-0.02057313174009323,0.003239016281440854,-0.0055679501965641975
1665946109661509000,0.833509033203125,-0.01941945031285286,-0.0004667723551392555,0.018770944327116013
1665946109671590000,0.84358984375,-0.015783164650201797,0.0007541097584180534,0.01888294517993927
1665946109681671000,0.8536708984375,-0.013460889458656311,0.004862568341195583,0.010251374915242195
1665946109691753000,0.8637529296875,-0.016912028193473816,0.004349917639046907,0.013707654550671577
1665946109701834000,0.873833984375,-0.020887063816189766,0.0038598962128162384,0.023876402527093887
1665946109711915000,0.8839150390625,-0.022588301450014114,0.0012367705348879099,0.03073214739561081
1665946109721995800,0.893995849609375,-0.01877731829881668,0.007970573380589485,0.035155925899744034
1665946109732077800,0.904077880859375,-0.008865680545568466,0.0048669506795704365,0.03523644059896469
1665946109742158800,0.914158935546875,-0.0012098918668925762,-0.0018671187572181225,0.036532334983348846
1665946109752239900,0.924239990234375,-0.007468320429325104,-0.0015171794220805168,0.021021820604801178
1665946109762321000,0.93432080078125,-0.019859209656715393,0.005965237971395254,0.018036149442195892
1665946109772403000,0.94440283203125,-0.03049192950129509,0.012634850107133389,0.0319516696035862
1665946109782483700,0.954483642578125,-0.05680263042449951,0.044173602014780045,0.08028244972229004
1665946109792565000,0.96456494140625,-0.08371098339557648,0.07222351431846619,0.13352170586585999
