time,seconds_elapsed,z,y,x
1665946108839886800,0.011886962890625,-0.2516937255859375,-0.92828369140625,-0.26605224609375
1665946108849967900,0.0219677734375,-0.2514495849609375,-0.92608642578125,-0.2654266357421875
1665946108860049000,0.032048828125,-0.2500762939453125,-0.9256744384765625,-0.266510009765625
1665946108870130000,0.0421298828125,-0.2511444091796875,-0.9264984130859375,-0.2673187255859375
1665946108880211700,0.052211669921875,-0.247772216796875,-0.9264373779296875,-0.2666168212890625
1665946108890293000,0.06229296875,-0.250396728515625,-0.92730712890625,-0.2642669677734375
1665946108900374000,0.0723740234375,-0.2570953369140625,-0.9299774169921875,-0.264617919921875
1665946108910455000,0.082455078125,-0.259246826171875,-0.935394287109375,-0.2610015869140625
1665946108920537000,0.092537109375,-0.2536163330078125,-0.939178466796875,-0.257965087890625
1665946108930617900,0.102617919921875,-0.25531005859375,-0.9371185302734375,-0.2584991455078125
1665946108940699000,0.112698974609375,-0.2559661865234375,-0.9326934814453125,-0.2621002197265625
1665946108950780000,0.12277978515625,-0.2504119873046875,-0.9313812255859375,-0.266143798828125
1665946108960862000,0.132862060546875,-0.2490234375,-0.9282073974609375,-0.26416015625
1665946108970943000,0.14294287109375,-0.2553558349609375,-0.9258270263671875,-0.2579345703125
1665946108981024000,0.15302392578125,-0.25787353515625,-0.927886962890625,-0.2570648193359375
1665946108991104800,0.163104736328125,-0.2555389404296875,-0.930267333984375,-0.261260986328125
1665946109001186800,0.173186767578125,-0.2529449462890625,-0.93438720703125,-0.258880615234375
1665946109011267800,0.183267822265625,-0.2562408447265625,-0.939117431640625,-0.259002685546875
1665946109021348900,0.193348876953125,-0.2546539306640625,-0.9363555908203125,-0.261077880859375
1665946109031430000,0.203429931640625,-0.2539520263671875,-0.9316864013671875,-0.257598876953125
1665946109041512000,0.213511962890625,-0.2577056884765625,-0.9307098388671875,-0.2515411376953125
1665946109051592700,0.2235927734375,-0.2548980712890625,-0.931365966796875,-0.2560272216796875
1665946109061674000,0.233674072265625,-0.2577667236328125,-0.930908203125,-0.255706787109375
1665946109071755000,0.243755126953125,-0.261993408203125,-0.93304443359375,-0.258941650390625
1665946109081837000,0.253837158203125,-0.259613037109375,-0.935211181640625,-0.2578277587890625
1665946109091918000,0.26391796875,-0.2522430419921875,-0.933135986328125,-0.26055908203125
1665946109101998800,0.273998779296875,-0.246978759765625,-0.927520751953125,-0.26312255859375
1665946109112080000,0.284079833984375,-0.2445220947265625,-0.9178314208984375,-0.2697601318359375
1665946109122162000,0.294161865234375,-0.2486419677734375,-0.912078857421875,-0.2764434814453125
1665946109132243000,0.304242919921875,-0.232025146484375,-0.9174652099609375,-0.2413330078125
1665946109142324000,0.314323974609375,-0.2410125732421875,-0.9138336181640625,-0.245025634765625
1665946109152405000,0.324405029296875,-0.2681884765625,-0.9503936767578125,-0.2526397705078125
1665946109162487000,0.334487060546875,-0.24102783203125,-0.9804229736328125,-0.242645263671875
1665946109172567800,0.34456787109375,-0.236602783203125,-0.9530792236328125,-0.2541961669921875
1665946109182648800,0.35464892578125,-0.2467041015625,-0.9075775146484375,-0.268218994140625
1665946109192729900,0.364729736328125,-0.254486083984375,-0.8998870849609375,-0.2815399169921875
1665946109202812000,0.37481201171875,-0.2762451171875,-0.899932861328125,-0.2901611328125
1665946109212893000,0.384892822265625,-0.2607421875,-0.9282989501953125,-0.2631378173828125
1665946109222973700,0.3949736328125,-0.2357635498046875,-0.954254150390625,-0.2333526611328125
1665946109233055000,0.405054931640625,-0.2391204833984375,-0.9454193115234375,-0.2296142578125
1665946109243136800,0.41513671875,-0.246429443359375,-0.92266845703125,-0.25372314453125
1665946109253218000,0.425218017578125,-0.2440185546875,-0.91259765625,-0.27215576171875
1665946109263299000,0.435299072265625,-0.2078094482421875,-0.9727935791015625,-0.2514495849609375
